,train_loss,val_loss,train_acc,val_acc
146,0.0457,0.0744,97.4427,97.3464
147,0.0447,0.0748,97.9956,97.3386
148,0.0413,0.0766,97.7214,97.2776
149,0.0588,0.0761,97.3715,97.3296
150,0.0943,0.0783,96.8411,97.0661
151,0.078,0.0747,96.9497,97.1467
152,0.0706,0.0768,97.1361,97.1066
153,0.0672,0.0752,97.3152,97.1582
154,0.0756,0.0746,97.2553,97.1767
155,0.1128,0.075,97.1203,97.16
156,0.0581,0.0732,97.5212,97.2471
157,0.0654,0.0766,97.4017,97.1191
158,0.051,0.0783,97.2117,97.1517
159,0.0559,0.0733,97.7027,97.2673
160,0.0651,0.0725,97.5275,97.2901
161,0.0706,0.0758,97.3318,97.1914
162,0.058,0.0763,97.7869,97.1796
163,0.0708,0.0739,97.5473,97.2594
164,0.0665,0.0751,97.3516,97.2309
165,0.0422,0.0738,97.8616,97.2823
166,0.0674,0.0734,97.6445,97.2986
167,0.0465,0.0734,97.4348,97.2823
168,0.0511,0.075,97.9507,97.2685
169,0.068,0.0754,97.6727,97.2785
170,0.0451,0.0747,97.3941,97.2821
171,0.0515,0.0762,97.9708,97.2786
172,0.0423,0.0761,97.7195,97.2646
173,0.0617,0.0759,97.376,97.2726
174,0.0546,0.0758,98.0302,97.252
175,0.0463,0.0772,97.7227,97.2669
176,0.0575,0.0767,97.3845,97.2387
177,0.0415,0.0775,98.0371,97.2514
178,0.0435,0.0772,97.7626,97.2537
179,0.0377,0.0772,97.401,97.2418
180,0.0917,0.088,96.8299,96.7531
181,0.0945,0.0773,96.6818,97.0923
182,0.0634,0.0769,97.1532,97.1041
183,0.0632,0.0762,97.2809,97.1607
184,0.0596,0.0754,97.2325,97.1918
185,0.058,0.0763,97.2034,97.1977
186,0.0738,0.0738,97.5033,97.2637
187,0.0796,0.0739,97.4535,97.2524
188,0.0588,0.0732,97.2769,97.2657
189,0.0602,0.0753,97.6619,97.256
190,0.0657,0.0744,97.5051,97.2664
191,0.0494,0.0752,97.3427,97.2572
192,0.0693,0.0747,97.7759,97.2906
193,0.0581,0.0758,97.5863,97.2431
194,0.0569,0.0766,97.3295,97.2553
195,0.0506,0.0757,97.8172,97.2756
196,0.05,0.0765,97.6728,97.279
197,0.0552,0.0762,97.3939,97.2713
198,0.0574,0.0783,97.9329,97.283
199,0.0529,0.0777,97.6904,97.2813
200,0.0513,0.0779,97.3968,97.2836
201,0.0427,0.078,98.0285,97.3016
202,0.0486,0.0786,97.6959,97.2737
203,0.0476,0.0794,97.3903,97.2494
204,0.054,0.0795,98.0287,97.2716
205,0.0451,0.0785,97.7302,97.283
206,0.0455,0.0779,97.3996,97.2827
207,0.0452,0.079,98.0605,97.271
208,0.0515,0.0805,97.7598,97.2684
209,0.0476,0.0801,97.382,97.2662
210,0.0991,0.0783,96.6989,97.0025
211,0.0855,0.0734,96.8417,97.1446
212,0.0784,0.0731,97.0966,97.1627
213,0.0734,0.069,97.3158,97.3388
214,0.0641,0.0711,97.2985,97.2787
215,0.0628,0.0702,97.2569,97.2898
216,0.0512,0.0688,97.5019,97.3588
217,0.0629,0.0676,97.4781,97.4123
218,0.0537,0.0673,97.4252,97.4025
219,0.0647,0.069,97.6719,97.3769
220,0.0569,0.0677,97.541,97.4092
221,0.0595,0.0687,97.4594,97.3919
222,0.043,0.0671,97.8264,97.4332
